target,score,dockq,irmsd,crmsd,classification,success,pred_lig
6EY6,-0.756569,0.974000,0.252313,0.310666,high,1,/root/PPCBench/results/DB5/hdock_1/6EY6/6EY6_hdock_1_id.pdb
3HI6,-0.758061,0.987000,0.227995,0.295128,high,1,/root/PPCBench/results/DB5/hdock_1/3HI6/3HI6_hdock_1_id.pdb
4Y7M,-0.758698,0.930000,0.457709,0.723075,high,1,/root/PPCBench/results/DB5/hdock_1/4Y7M/4Y7M_hdock_1_id.pdb
1JPS,-0.759235,0.990000,0.246481,0.221043,high,1,/root/PPCBench/results/DB5/hdock_1/1JPS/1JPS_hdock_1_id.pdb
2VXT,-0.761994,0.995000,0.173992,0.159484,high,1,/root/PPCBench/results/DB5/hdock_1/2VXT/2VXT_hdock_1_id.pdb
3G6D,-0.764439,0.987000,0.314925,0.231476,high,1,/root/PPCBench/results/DB5/hdock_1/3G6D/3G6D_hdock_1_id.pdb
1E4K,-0.765317,0.011000,19.891792,20.980824,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1E4K/1E4K_hdock_1_id.pdb
1JWH,-0.769817,0.018000,23.810036,23.586605,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1JWH/1JWH_hdock_1_id.pdb
1EZU,-0.771643,0.993000,0.193601,0.204225,high,1,/root/PPCBench/results/DB5/hdock_1/1EZU/1EZU_hdock_1_id.pdb
3H2V,-0.775949,0.963000,0.261568,0.580472,high,1,/root/PPCBench/results/DB5/hdock_1/3H2V/3H2V_hdock_1_id.pdb
5E5M,-0.778093,0.995000,0.201878,0.158372,high,1,/root/PPCBench/results/DB5/hdock_1/5E5M/5E5M_hdock_1_id.pdb
2GAF,-0.778243,0.984000,0.282601,0.262935,high,1,/root/PPCBench/results/DB5/hdock_1/2GAF/2GAF_hdock_1_id.pdb
1Y64,-0.781721,0.907000,0.634169,0.915244,high,1,/root/PPCBench/results/DB5/hdock_1/1Y64/1Y64_hdock_1_id.pdb
5VNW,-0.785213,0.006000,25.886583,25.198900,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/5VNW/5VNW_hdock_1_id.pdb
1GXD,-0.787279,0.958000,0.331957,0.527559,high,1,/root/PPCBench/results/DB5/hdock_1/1GXD/1GXD_hdock_1_id.pdb
1SYX,-0.789115,0.987000,0.269281,0.262837,high,1,/root/PPCBench/results/DB5/hdock_1/1SYX/1SYX_hdock_1_id.pdb
2A1A,-0.806048,0.007000,21.497328,24.874823,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/2A1A/2A1A_hdock_1_id.pdb
1KAC,-0.813945,0.988000,0.274394,0.256654,high,1,/root/PPCBench/results/DB5/hdock_1/1KAC/1KAC_hdock_1_id.pdb
4LW4,-0.815311,0.005000,31.479980,27.644817,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/4LW4/4LW4_hdock_1_id.pdb
3R9A,-0.830942,0.982000,0.322329,0.444990,high,1,/root/PPCBench/results/DB5/hdock_1/3R9A/3R9A_hdock_1_id.pdb
1WEJ,-0.833699,0.977000,0.337713,0.430712,high,1,/root/PPCBench/results/DB5/hdock_1/1WEJ/1WEJ_hdock_1_id.pdb
